"STAT_ID","STATION_NAME","STATION_ID_ORIG","Country","State","Latitude","Longitude","CoordinateSystem"
"100393","EAST BR BRANDYWINE CR NR DORLAN, PA.","1480665","USA","PENNSYLVANIA",40.05,-75.72,"NA1983"
"100394","BEAVER CREEK NEAR DOWNINGTOWN, PA","1480775","USA","PENNSYLVANIA",40.00,-75.72,"NA1983"
"100395","VALLEY CREEK NEAR ALTOR, PA","1480890","USA","PENNSYLVANIA",39.98,-75.66,"NA1983"
"100396","BRANDYWINE C AT WILMINGTON DE","1481500","USA","DELAWARE",39.76,-75.57,"NA1983"
"100397","LEIPSIC RIVER NEAR CHESWOLD, DE","1483500","USA","DELAWARE",39.23,-75.63,"NA1983"
"100398","PENROSE B NR PEARSONS CORNER, DE","1483666","USA","DELAWARE",39.16,-75.63,"NA1983"
"100399","BLACK SWAMP C NR MASTENS CORNER, DE","1483990","USA","DELAWARE",38.97,-75.51,"NA1983"
"100400","HUDSON B AT CANTERBURY, DE","1484036","USA","DELAWARE",39.03,-75.54,"NA1983"
"100401","PRATT BRANCH NEAR FELTON, DE","1484050","USA","DELAWARE",39.01,-75.52,"NA1983"
"100402","BEAVERDAM BRANCH AT HOUSTON, DE","1484100","USA","DELAWARE",38.90,-75.51,"NA1983"
"100403","SWAN CREEK NEAR MILLSBORO, DE","1484534","USA","DELAWARE",38.62,-75.25,"NA1983"
"100404","UNITY BRANCH AT FAIRMOUNT, DE","1484640","USA","DELAWARE",38.66,-75.22,"NA1983"
"100405","PHILLIPS BRANCH NEAR FAIRMOUNT, DE","1484645","USA","DELAWARE",38.65,-75.20,"NA1983"
"100406","BUNDICKS BR NR COOL SPRING, DE","1484652","USA","DELAWARE",38.71,-75.24,"NA1983"
"100407","POCOMOKE RIVER AT CAREYTOWN, MD","1484980","USA","MARYLAND",38.43,-75.33,"NA1983"
"100408","NORTH FORK GREEN RUN NEAR WHITESVILLE, DE","1484981","USA","MARYLAND",38.45,-75.37,"NA1983"
"100409","SOUTH FORK GREEN RUN NEAR WHITESVILLE, DE","1484983","USA","MARYLAND",38.44,-75.39,"NA1983"
"100410","GREEN RUN NEAR CAREYTOWN, MD","1484985","USA","MARYLAND",38.43,-75.35,"NA1983"
"100411","DAVIS DITCH NEAR CAREYTOWN, MD","1484989","USA","MARYLAND",38.42,-75.35,"NA1983"
"100412","DAVIS DITCH AT CAREYTOWN, MD","1484990","USA","MARYLAND",38.42,-75.34,"NA1983"
"100413","POCOMOKE RIVER NEAR WILLARDS, MD","1485000","USA","MARYLAND",38.38,-75.32,"NA1983"
"100414","BURNT MILL B NR PITTSVILLE, MD","1485025","USA","MARYLAND",38.40,-75.38,"NA1983"
"100415","AYDYLOTTE B AT PITTSVILLE, MD","1485030","USA","MARYLAND",38.40,-75.41,"NA1983"
"100416","NASSAWANGO CREEK NEAR SNOW HILL, MD","1485500","USA","MARYLAND",38.22,-75.47,"NA1983"
"100417","ANDREWS BRANCH NEAR DELMAR, MD","1486100","USA","MARYLAND",38.43,-75.52,"NA1983"
"100418","NANTICOKE RIVER NEAR BRIDGEVILLE, DE","1487000","USA","DELAWARE",38.72,-75.56,"NA1983"
"100419","MIFFLIN DITCH NEAR GEORGETOWN, DE","1487060","USA","DELAWARE",38.72,-75.41,"NA1983"
"100420","DEEP CREEK AT OLD FURNACE, DE","1487100","USA","DELAWARE",38.66,-75.51,"NA1983"
"100421","STONY BR AT HARDSCRABBLE, DE","1487116","USA","DELAWARE",38.62,-75.47,"NA1983"
"100422","CHAPEL BR NR SEAFORD, DE","1487250","USA","DELAWARE",38.64,-75.63,"NA1983"
"100423","BUTLER MILL BRANCH NEAR WOODLAND, DE","1487300","USA","DELAWARE",38.63,-75.65,"NA1983"
"100424","MEADOW BR AT LITTLE ACRES, DE","1487910","USA","DELAWARE",38.50,-75.57,"NA1983"
"100425","MARSHYHOPE CREEK NEAR ADAMSVILLE, DE","1488500","USA","DELAWARE",38.84,-75.67,"NA1983"
"100426","CATTAIL BR NR ADAMSVILLE, DE","1488530","USA","DELAWARE",38.85,-75.68,"NA1983"
"100427","FAULKNER BRANCH AT FEDERALSBURG, MD","1489000","USA","MARYLAND",38.71,-75.79,"NA1983"
"100428","COW MARSH DITCH NR WILLOW GROVE, DE","1490590","USA","DELAWARE",39.05,-75.61,"NA1983"
"100429","MEREDITH BRANCH NEAR SANDTOWN, DE","1490600","USA","DELAWARE",39.03,-75.69,"NA1983"
"100430","CHOPTANK R NR GREENSBORO, MD","1491000","USA","MD",38.99,-75.78,"NA1983"
"100431","GRAVELLY BR NR GREENSBORO, MD","1491020","USA","MARYLAND",38.99,-75.76,"NA1983"
"100432","SPRING BRANCH NEAR GREENSBORO, MD","1491050","USA","MARYLAND",38.94,-75.78,"NA1983"
"100433","JORDAN B NR DOWNS CHAPEL, DE","1492900","USA","DELAWARE",39.21,-75.70,"NA1983"
"100434","MILL BRANCH NEAR MILLINGTON, MD","1492990","USA","MARYLAND",39.27,-75.86,"NA1983"
"100435","COW CREEK NEAR CHESTERVILLE, MD","1493109","USA","MARYLAND",39.28,-75.92,"NA1983"
"100436","CHESTERVILLE BRANCH NEAR CHESTERVILLE, MD","1493110","USA","MARYLAND",39.28,-75.92,"NA1983"
"100437","CHESTERVILLE BRANCH NEAR CRUMPTON, MD","1493112","USA","MARYLAND",39.25,-75.94,"NA1983"
"100438","MORGAN CREEK TRIBUTARY AT BLACKS, MD","1493490","USA","MARYLAND",39.31,-75.93,"NA1983"
"100439","MORGAN CREEK NEAR LOCUST GROVE, MD","1493495","USA","MARYLAND",39.30,-75.96,"NA1983"
"100440","MORGAN CREEK NEAR WORTON, MD","1493499","USA","MARYLAND",39.28,-76.00,"NA1983"
"100441","MORGAN CREEK NEAR KENNEDYVILLE, MD","1493500","USA","MARYLAND",39.28,-76.01,"NA1983"
"100442","SUSQUEHANNA RIVER AT DANVILLE, PA","1540500","USA","PENNSYLVANIA",40.95,-76.61,"NA1983"
"100443","YOUNG WOMANS CREEK NEAR RENOVO, PA.","1545600","USA","PA",41.38,-77.69,"NA1983"
"100444","WEST BRANCH SUSQUEHANNA RIVER AT LEWISBURG, PA","1553500","USA","PENNSYLVANIA",40.96,-76.87,"NA1983"
"100445","SHAMOKIN CREEK AT SUNBURY, PA.","1554578","USA","PENNSYLVANIA",40.85,-76.77,"NA1983"
"100446","PENNS CREEK AT PENNS CREEK, PA","1555000","USA","PENNSYLVANIA",40.86,-77.04,"NA1983"
"100447","MAHANTANGO CR AB CONF W L MAHANTANGO CR AT R & R","1555348","USA","PENNSYLVANIA",40.67,-76.61,"NA1983"
"100448","LITTLE MAHANTANGO CREEK NEAR HEPLER, PA","1555368","USA","PENNSYLVANIA",40.69,-76.58,"NA1983"
"100449","UNN TRIB TO L MAHANTANGO CR NEAR HEPLER, PA","1555372","USA","PENNSYLVANIA",40.70,-76.58,"NA1983"
"100450","LITTLE MAHANTANGO CR NEAR MOUTH AT ROUGH&READY, PA","1555376","USA","PENNSYLVANIA",40.67,-76.61,"NA1983"
"100451","EAST MAHANTANGO CREEK AT KLINGERSTOWN, PA","1555400","USA","PENNSYLVANIA",40.66,-76.69,"NA1983"
"100452","EAST MAHANTANGO CREEK NEAR DALMATIA, PA","1555500","USA","PENNSYLVANIA",40.61,-76.91,"NA1983"
"100453","BOBS CREEK NEAR PAVIA, PA","1559795","USA","PENNSYLVANIA",40.27,-78.59,"NA1983"
"100454","RAYSTOWN BRANCH JUNIATA RIVER AT SAXTON, PA.  []","1562000","USA","PA",40.21,-78.26,"NA1983"
"100455","TEA CREEK AT REEDSVILLE, PA","1564910","USA","PENNSYLVANIA",40.66,-77.59,"NA1983"
"100456","KISHACOQUILLAS CREEK AT LUMBER CITY, PA","1564997","USA","PENNSYLVANIA",40.66,-77.59,"NA1983"
"100457","JUNIATA RIVER AT NEWPORT, PA","1567000","USA","PENNSYLVANIA",40.47,-77.12,"NA1983"
"100458","SHERMAN CREEK AT SHERMANS DALE, PA","1568000","USA","PENNSYLVANIA",40.32,-77.16,"NA1983"
"100459","LETORT SPRING RUN NEAR CARLISLE, PA","1569800","USA","PENNSYLVANIA",40.23,-77.13,"NA1983"
"100460","CONODOGUINET CREEK AT ENOLA, PA","1570280","USA","PENNSYLVANIA",40.27,-76.94,"NA1983"
"100461","SUSQUEHANNA RIVER AT HARRISBURG, PA","1570500","USA","PENNSYLVANIA",40.25,-76.88,"NA1983"
"100462","PAXTON CREEK NEAR PENBROOK, PA","1571000","USA","PENNSYLVANIA",40.30,-76.84,"NA1983"
"100463","CEDAR RUN AT EBERLYS MILL, PA","1571490","USA","PENNSYLVANIA",40.22,-76.90,"NA1983"
"100464","YELLOW BREECHES CREEK NEAR CAMP HILL, PA","1571500","USA","PENNSYLVANIA",40.22,-76.89,"NA1983"
"100465","BECK CREEK NEAR CLEONA, PA","1573086","USA","PENNSYLVANIA",40.32,-76.48,"NA1983"
"100466","CENTER BR BACHMAN RUN NR MT. GRETNA HTS., PA","1573091","USA","PENNSYLVANIA",40.26,-76.48,"NA1983"
"100467","WB BACHMAN RUN AT MT. WILSON, PA","1573092","USA","PENNSYLVANIA",40.26,-76.49,"NA1983"
"100468","BACHMAN RUN AT ANNVILLE, PA","1573095","USA","PENNSYLVANIA",40.31,-76.51,"NA1983"
"100469","SWATARA CREEK NEAR HERSHEY, PA","1573560","USA","PENNSYLVANIA",40.29,-76.66,"NA1983"
"100470","SPRING CREEK AT UNION DEPOSIT, PA","1573570","USA","PENNSYLVANIA",40.28,-76.67,"NA1983"
"100471","WEST CONEWAGO CREEK NEAR MANCHESTER, PA","1574000","USA","PENNSYLVANIA",40.08,-76.71,"NA1983"
"100472","CODORUS CREEK AT PLEASUREVILLE, PA","1575585","USA","PENNSYLVANIA",40.01,-76.69,"NA1983"
"100473","SUSQUEHANNA RIVER AT MARIETTA, PA","1576000","USA","PENNSYLVANIA",40.05,-76.53,"NA1983"
"100474","MILL CREEK AT ESHELMAN MILL ROAD NEAR LYNDON, PA","1576540","USA","PENNSYLVANIA",40.01,-76.27,"NA1983"
"100475","CONESTOGA RIVER AT CONESTOGA, PA","1576754","USA","PENNSYLVANIA",39.94,-76.36,"NA1983"
"100476","PEQUEA CREEK AT MARTIC FORGE, PA","1576787","USA","PENNSYLVANIA",39.90,-76.32,"NA1983"
"100477","MUDDY CREEK AT MUDDY CREEK FORKS, PA","1577300","USA","PENNSYLVANIA",39.80,-76.47,"NA1983"
"100478","MUDDY CREEK AT CASTLE FIN, PA","1577500","USA","PENNSYLVANIA",39.77,-76.31,"NA1983"
"100479","SUSQUEHANNA RIVER AT CONOWINGO, MD","1578310","USA","MARYLAND",39.65,-76.17,"NA1983"
"100480","MUDDY RUN AT CREAM, PA","1578350","USA","PENNSYLVANIA",39.83,-76.00,"NA1983"
"100481","WEST BRANCH OCTORARO CREEK AT WHITE ROCK, PA","1578440","USA","PENNSYLVANIA",39.82,-76.08,"NA1983"
"100482","OCTORARO CREEK NEAR RICHARDSMERE, MD","1578475","USA","MARYLAND",39.70,-76.11,"NA1983"
"100483","PATUXENT R NR BOWIE, MD","1594440","USA","MD",38.95,-76.69,"NA1983"
"100484","NORTH BRANCH POTOMAC RIVER AT STEYER, MD","1595000","USA","MARYLAND",39.30,-79.30,"NA1983"
"100485","SAVAGE RIVER NEAR BARTON, MD","1596500","USA","MARYLAND",39.57,-79.10,"NA1983"
"100486","NORTH BRANCH POTOMAC RIVER AT PINTO, MD","1600000","USA","WEST VIRGINIA",39.56,-78.83,"NA1983"
"100487","PINEY MOUNTAIN CREEK AT LAVALE, MD","1601470","USA","MARYLAND",39.65,-78.80,"NA1983"
"100488","NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD","1603000","USA","MARYLAND",39.62,-78.77,"NA1983"
"100489","MILL CREEK AT BURLINGTON, WV","1604400","USA","WEST VIRGINIA",39.33,-78.92,"NA1983"
"100490","WEST STRAIT CREEK NEAR MONTEREY, VA","1605220","USA","VIRGINIA",38.44,-79.53,"NA1983"
"100491","THORN CREEK NEAR MOATSTOWN, WV","1605490","USA","WEST VIRGINIA",38.54,-79.36,"NA1983"
"100492","DRY RUN NEAR CHERRY GROVE, WV","1605800","USA","WEST VIRGINIA",38.62,-79.53,"NA1983"
"100493","SENECA CREEK NEAR ONEGO, WV","1605900","USA","WEST VIRGINIA",38.85,-79.47,"NA1983"
"100494","JORDAN RUN NEAR HOPEVILLE, WV","1605950","USA","WEST VIRGINIA",38.98,-79.26,"NA1983"
"100495","SOUTH BRANCH POTOMAC RIVER NEAR PETERSBURG, WV","1606500","USA","WEST VIRGINIA",38.99,-79.17,"NA1983"
"100496","SOUTH FORK LUNICE CREEK NEAR MAYSVILLE, WV","1606600","USA","WEST VIRGINIA",39.06,-79.12,"NA1983"
"100497","NORTH MILL CREEK NEAR PETERSBURG, WV","1606720","USA","WEST VIRGINIA",38.92,-79.17,"NA1983"
"100498","SOUTH FORK SB POTOMAC RIVER NEAR MOOREFIELD, WV","1608000","USA","WEST VIRGINIA",39.01,-78.95,"NA1983"
"100499","MUDLICK RUN NEAR MOOREFIELD, WV","1608150","USA","WEST VIRGINIA",39.14,-78.94,"NA1983"
"100500","MILL RUN NEAR ROMNEY, WV","1608300","USA","WEST VIRGINIA",39.30,-78.80,"NA1983"
"100501","SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV","1608500","USA","WEST VIRGINIA",39.44,-78.65,"NA1983"
"100502","WHITE SULFUR RUN NEAR FLINTSTONE, MD","1610063","USA","MARYLAND",39.65,-78.46,"NA1983"
"100503","KIMSEY RUN NEAR LOST RIVER, WV","1610185","USA","WEST VIRGINIA",38.96,-78.90,"NA1983"
"100504","TROUT RUN NEAR WARDENSVILLE, WV","1610250","USA","WEST VIRGINIA",38.98,-78.65,"NA1983"
"100505","WAITES RUN NEAR WARDENSVILLE, WV","1610400","USA","WEST VIRGINIA",39.04,-78.59,"NA1983"
"100506","DILLONS RUN AT CAPON BRIDGE, WV","1610990","USA","WEST VIRGINIA",39.29,-78.44,"NA1983"
"100507","SPERRY RUN AT RIO, WV","1611120","USA","WEST VIRGINIA",39.13,-78.65,"NA1983"
"100508","TEAR COAT CREEK NEAR RIO, WV","1611130","USA","WEST VIRGINIA",39.21,-78.68,"NA1983"
"100509","MAPLE RUN NEAR SLANESVILLE, WV","1611205","USA","WEST VIRGINIA",39.34,-78.51,"NA1983"
"100510","CACAPON RIVER NEAR GREAT CACAPON, WV","1611500","USA","WEST VIRGINIA",39.58,-78.30,"NA1983"
"100511","CUMMINGS RUN NEAR NEEDMORE, PA","1613060","USA","PENNSYLVANIA",39.88,-78.14,"NA1983"
"100512","COVE RUN AT WARFORDSBURG, PA","1613082","USA","PENNSYLVANIA",39.76,-78.18,"NA1983"
"100513","L COVE C NR SYLVAN, PA","1613510","USA","PENNSYLVANIA",39.74,-78.03,"NA1983"
"100514","HARLAN RUN NEAR SPRING MILLS, WV","1614010","USA","WEST VIRGINIA",39.55,-77.95,"NA1983"
"100515","CONOCOCHEAGUE CREEK TRIBUTARY AT FAYETTEVILLE, PA","1614110","USA","PENNSYLVANIA",39.91,-77.57,"NA1983"
"100516","FALLING SPRING AT CHAMBERSBURG, PA","1614130","USA","PENNSYLVANIA",39.93,-77.64,"NA1983"
"100517","WELSH RUN AT WELSH RUN, PA","1614350","USA","PENNSYLVANIA",39.76,-77.84,"NA1983"
"100518","CONOCOCHEAGUE CREEK AT FAIRVIEW, MD","1614500","USA","MARYLAND",39.71,-77.82,"NA1983"
"100519","ROCKDALE RUN AT FAIRVIEW, MD","1614525","USA","MARYLAND",39.70,-77.84,"NA1983"
"100520","TOWN RUN AT WINCHESTER, VA","1615520","USA","VIRGINIA",39.17,-78.16,"NA1983"
"100521","OPEQUON CREEK NEAR MARTINSBURG, WV","1616500","USA","WEST VIRGINIA",39.42,-77.93,"NA1983"
"100522","TUSCARORA CREEK AT MARTINSBURG, WV","1617010","USA","WEST VIRGINIA",39.45,-77.96,"NA1983"
"100523","MARSH RUN AT GRIMES, MD","1617800","USA","MARYLAND",39.51,-77.77,"NA1983"
"100524","POTOMAC RIVER AT SHEPHERDSTOWN, WV","1618000","USA","WEST VIRGINIA",39.43,-77.80,"NA1983"
"100525","RATTLESNAKE RUN NEAR SHEPHERDSTOWN, WV","1618200","USA","WEST VIRGINIA",39.40,-77.77,"NA1983"
"100526","MARSH RUN AT REID, MD","1619140","USA","MARYLAND",39.71,-77.67,"NA1983"
"100527","HAMILTON CREEK AT HAGERSTOWN, MD","1619200","USA","MARYLAND",39.64,-77.70,"NA1983"
"100528","ANTIETAM CREEK NEAR SHARPSBURG, MD","1619500","USA","MARYLAND",39.44,-77.73,"NA1983"
"100529","NORTH RIVER NEAR STOKESVILLE, VA","1620500","USA","VIRGINIA",38.33,-79.23,"NA1983"
"100530","MOSSY CREEK NEAR SPRING CREEK, VA","1620850","USA","VIRGINIA",38.38,-79.01,"NA1983"
"100531","BLACK RN AT RAWLEY SPRINGS, VA","1620995","USA","VIRGINIA",38.50,-79.05,"NA1983"
"100532","MUDDY CREEK AT MOUNT CLINTON, VA","1621050","USA","VIRGINIA",38.48,-78.96,"NA1983"
"100533","BLACKS RUN AT HARRISONBURG, VA","1621400","USA","VIRGINIA",38.43,-78.88,"NA1983"
"100534","NORTH RIVER NEAR BURKETOWN, VA","1622000","USA","VIRGINIA",38.34,-78.91,"NA1983"
"100535","LEWIS CREEK AT STAUNTON, VA","1624490","USA","VIRGINIA",38.15,-79.05,"NA1983"
"100536","FOLLY MILLS CREEK NEAR STAUNTON, VA","1624670","USA","VIRGINIA",38.09,-79.08,"NA1983"
"100537","POLECAT DRAFT NEAR PIEDMONT, VA","1624950","USA","VIRGINIA",38.21,-78.87,"NA1983"
"100538","MIDDLE RIVER NEAR GROTTOES, VA","1625000","USA","VIRGINIA",38.26,-78.86,"NA1983"
"100539","PORTERFIELD RUN NEAR CRIMORA, VA","1626950","USA","VIRGINIA",38.13,-78.87,"NA1983"
"100540","LOUTH RIVER AT HARRISTON, VA","1627500","USA","VIRGINIA",38.21,-78.83,"NA1983"
"100541","SOUTH FORK SHENANDOAH RIVER NEAR LURAY, VA","1629500","USA","VIRGINIA",38.64,-78.53,"NA1983"
"100542","MILL CREEK NEAR HAMBURG, VA","1629550","USA","VIRGINIA",38.63,-78.51,"NA1983"
"100543","SOUTH FORK SHENANDOAH RIVER AT FRONT ROYAL, VA","1631000","USA","VIRGINIA",38.91,-78.21,"NA1983"
"100544","SHOEMAKER RIVER NEAR FULKS RUN, VA","1631700","USA","VIRGINIA",38.64,-78.89,"NA1983"
"100545","HOLMANS RUN AT QUICKSBURG, VA","1632750","USA","VIRGINIA",38.70,-78.68,"NA1983"
"100546","NORTH FORK SHENANDOAH RIVER AT MOUNT JACKSON, VA","1633000","USA","VIRGINIA",38.74,-78.63,"NA1983"
"100547","TOMS BROOK AT TOMS BROOK, VA","1633730","USA","VIRGINIA",38.94,-78.44,"NA1983"
"100548","NORTH FORK SHENANDOAH RIVER NEAR STRASBURG, VA","1634000","USA","VIRGINIA",38.97,-78.33,"NA1983"
"100549","PADDY RUN NEAR LEBANON CHURCH, VA","1634100","USA","VIRGINIA",39.04,-78.49,"NA1983"
"100550","BUFFALO MARSH RUN NEAR MIDDLETOWN, VA","1635045","USA","VIRGINIA",39.05,-78.30,"NA1983"
"100551","HAPPY CREEK AT CROSBY STADIUM AT FRONT ROYAL, VA","1636215","USA","VIRGINIA",38.92,-78.19,"NA1983"
"100552","PAGE BROOK AT BOYCE, VA","1636305","USA","VIRGINIA",39.09,-78.05,"NA1983"
"100553","BULLSKIN RUN ABOVE KABLETOWN, WV","1636460","USA","WEST VIRGINIA",39.21,-77.86,"NA1983"
"100554","SHENANDOAH RIVER AT MILLVILLE, WV","1636500","USA","WEST VIRGINIA",39.28,-77.78,"NA1983"
"100555","BROAD RUN NEAR JEFFERSON, MD","1637950","USA","MARYLAND",39.36,-77.58,"NA1983"
"100556","CATOCTIN CREEK AT OLIVE, MD","1638050","USA","MARYLAND",39.33,-77.57,"NA1983"
"100557","RICHARD CREEK NEAR WATERFORD, VA","1638450","USA","VIRGINIA",39.21,-77.63,"NA1983"
"100558","CATOCTIN CREEK AT TAYLORSTOWN, VA","1638480","USA","VIRGINIA",39.25,-77.57,"NA1983"
"100559","MUMMASBURG RUN NEAR GETTYSBURG, PA","1638740","USA","PENNSYLVANIA",39.86,-77.28,"NA1983"
"100560","WHITES RUN NEAR TWO TAVERNS, PA","1638895","USA","PENNSYLVANIA",39.80,-77.17,"NA1983"
"100561","LITTLES RUN NEAR GETTYSBURG, PA","1638920","USA","PENNSYLVANIA",39.78,-77.19,"NA1983"
"100562","ALLOWAY CREEK NEAR HARNEY, MD","1638994","USA","PENNSYLVANIA",39.73,-77.15,"NA1983"
"100563","MONOCACY RIVER AT BRIDGEPORT, MD","1639000","USA","MARYLAND",39.67,-77.23,"NA1983"
"100564","FLAT RUN AT EMMITSBURG, MD","1639380","USA","MARYLAND",39.70,-77.32,"NA1983"
"100565","BIG PIPE CREEK AT BACHMAN MILLS, MD","1639400","USA","MARYLAND",39.66,-76.94,"NA1983"
"100566","SILVER RUN NEAR SILVER RUN, MD","1639440","USA","MARYLAND",39.67,-77.09,"NA1983"
"100567","BEAR BRANCH NEAR FRIZZELLBURG, MD","1639462","USA","MARYLAND",39.63,-77.07,"NA1983"
"100568","LITTLE PIPE CREEK AT AVONDALE, MD","1640000","USA","MARYLAND",39.56,-77.04,"NA1983"
"100569","SAMS CREEK NEAR UNION BRIDGE, MD","1640155","USA","MARYLAND",39.53,-77.17,"NA1983"
"100570","GLADE CREEK NEAR WALKERSVILLE, MD","1641830","USA","MARYLAND",39.47,-77.37,"NA1983"
"100571","CARROLL CREEK AT FREDERICK, MD","1642200","USA","MARYLAND",39.41,-77.42,"NA1983"
"100572","SOUTH FORK LINGANORE CREEK AT LINGANORE, MD","1642425","USA","MARYLAND",39.44,-77.21,"NA1983"
"100573","MONOCACY R AT REICHS FORD BRIDGE NR FREDERICK,MD","1643020","USA","MARYLAND",39.38,-77.37,"NA1983"
"100574","BENNETT CREEK NEAR HYATTSTOWN, MD","1643300","USA","MARYLAND",39.30,-77.29,"NA1983"
